2025-07-09 23:37:43,521 - system - INFO - StockSage.AI logging system initialized | module=system
2025-07-09 23:37:43,521 - system - INFO - Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)] | module=system
2025-07-09 23:37:43,522 - system - INFO - Working directory: D:\StockSage.AI | module=system
2025-07-09 23:37:43,522 - system - INFO - Log level: INFO | module=system
2025-07-09 23:37:43,522 - system - INFO - Environment: development | module=system
2025-07-09 23:37:51,390 - system - INFO - StockSage.AI logging system initialized | module=system
2025-07-09 23:37:51,391 - system - INFO - Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)] | module=system
2025-07-09 23:37:51,392 - system - INFO - Working directory: D:\StockSage.AI | module=system
2025-07-09 23:37:51,392 - system - INFO - Log level: INFO | module=system
2025-07-09 23:37:51,392 - system - INFO - Environment: development | module=system
2025-07-10 09:15:07,786 - system - INFO - StockSage.AI logging system initialized | module=system
2025-07-10 09:15:07,787 - system - INFO - Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)] | module=system
2025-07-10 09:15:07,787 - system - INFO - Working directory: D:\StockSage.AI | module=system
2025-07-10 09:15:07,788 - system - INFO - Log level: INFO | module=system
2025-07-10 09:15:07,789 - system - INFO - Environment: development | module=system
